Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Accesion number,Call number,Label,Keywords,Abstract,URL,Author Address
Milvus migrans,,,,,,,,,,,,,,
Accipitridae,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Woodlands,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat preference,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Bird collision,,,,,,,,,,,,,,
Aircraft hazards,,,,,,,,,,,,,,
Roosting behaviour,,,,,,,,,,,,,,
S. Satpathy,2013,"Status, distribution and breeding behaviour of the Bengal Florican (Houbaropsis bengalensis) in Dudhwa National Park",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",34,M.Sc.,,,TD-00335,Microhabitat characteristics,,,
Breeding behaviour,,,,,,,,,,,,,,
Bird population,,,,,,,,,,,,,,
Terai grasslands of India,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Grassland habitat,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Houbaropsis bengalensis,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Species biology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
K. Seedikkoya,2015,Comparative ecology of certain paddy field birds with emphasis on the habitat quality,Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00312,Wetland birds,,,
Waterbirds,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Paddy fields,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Heavy metal contamination,,,,,,,,,,,,,,
Bio-accumulation,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Prey availability,,,,,,,,,,,,,,
Crop damage,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
K. Seema,2002,Management of fragile wetland ecosystem in Salim Ali Bird Sanctuary with respect to its aquatic avifauna,Mar Thoma College,Thiruvalla,"Mahatma Gandhi University, Kottayam",,Ph.D.,,,TD-00306,Waterbirds,,,
Aquatic birds,,,,,,,,,,,,,,
Wetland birds,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Mangrove ecosystem,,,,,,,,,,,,,,
Estuaries,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
Habitat regeneration,,,,,,,,,,,,,,
Seasonal changes,,,,,,,,,,,,,,
Threat assessment,,,,,,,,,,,,,,
Disaster management,,,,,,,,,,,,,,
S. S. Sekhon,1996,"Studies on the nidification, behaviour and damage by the sparrows and parrots in the Punjab",,,"Punjab Agricultural University, Ludhiana",,M.Sc.,,,TD-00222,Sparrows,,,
Parakeets,,,,,,,,,,,,,,
Passer domesticus,,,,,,,,,,,,,,
Psittacula krameri,,,,,,,,,,,,,,
Passeridae,,,,,,,,,,,,,,
Psittaculidae,,,,,,,,,,,,,,
Punjab Plains,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Crop fields,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Bird pests,,,,,,,,,,,,,,
Nidification behaviour,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Seasonal diet,,,,,,,,,,,,,,
Economic ornithology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
S. Selvamurugan,2016,"Levels of copper and zinc in feathers of select species of birds from Ahmedabad, Gujarat",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,M.Sc.,,,TD-00053,Landbirds,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Metal contamination,,,,,,,,,,,,,,
Bio-accumulation,,,,,,,,,,,,,,
AAS techniques,,,,,,,,,,,,,,
Bird feathers,,,,,,,,,,,,,,
Feather moulting,,,,,,,,,,,,,,
M. Shah,1998,Effect of few herbal extraction on the reproducting biology of a passerine bird Common Myna Acridotheres tristis,Department of Zoology,,"Osmania University, Hyderabad",,Ph.D.,,,TD-00208,Starlings,,,
Acridotheres ginginianus,,,,,,,,,,,,,,
Sturnidae,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Herbal extracts,,,,,,,,,,,,,,
T. V. Shajitha,2015,Biochemical studies on bird flight,Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00308,Landbirds,,,
Deccan Plateau,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Flight metabolism,,,,,,,,,,,,,,
Biochemical cycle,,,,,,,,,,,,,,
Avian metabolism ,,,,,,,,,,,,,,
Ketogenesis,,,,,,,,,,,,,,
J. V. Shankarrao,2012,Avian fauna of Bhokar and Hadgaon forest district Nanded - A comparative study,Department of Zoology,Aundha,Swami Ramanand Teerth Marathwada University,151,Ph.D.,,,TD-00387,Species diversity,,,
Species composition,,,,,,,,,,,,,,
Environmental gradient,,,,,,,,,,,,,,
A. Sharma,2018,Diversity and abundance of wetland birds in religious ponds of Kurukshetra and its environs,Department of Zoology,Kurukshetra,Kurukshetra University,165,Ph.D,,,TD-00323,Bird studies,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Population size,,,,,,,,,,,,,,
S. K. Sharma,1991,Plant life and weaver birds - with special reference to eastern Rajasthan,,,"University of Rajasthan, Jaipur",,Ph.D.,,,TD-00278,Weavers,,,
Ploceidae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Farmlands,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Plant-bird interactions,,,,,,,,,,,,,,
Vegetation,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Nesting biology,,,,,,,,,,,,,,
Tree cover,,,,,,,,,,,,,,
Nest characteristics,,,,,,,,,,,,,,
Nesting materials,,,,,,,,,,,,,,
S. R. Sharma,2017,Diversity and abundance of birds in disturbed and undisturbed wetlands of Manipur River basin,Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",79,M.Sc.,,,TD-00347,Bird diversity,,,
Bird abundance,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Manipur,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Vegetation composition,,,,,,,,,,,,,,
Vegetation structure,,,,,,,,,,,,,,
Species composition,,,,,,,,,,,,,,
Anthropogenic pressure,,,,,,,,,,,,,,
Human disturbance,,,,,,,,,,,,,,
Wildlife resource extraction,,,,,,,,,,,,,,
Plant resource extraction,,,,,,,,,,,,,,
N. Sheeba,2011,"Ecology and conservation of the Spot-billed Pelican Pelecanus philippensis in Andhra Pradesh, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00020,Pelicans,,,
Pelecanus philippensis,,,,,,,,,,,,,,
Pelecanidae,,,,,,,,,,,,,,
Eastern Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat occupancy,,,,,,,,,,,,,,
Seasonal movements ,,,,,,,,,,,,,,
Breeding ecology,,,,,,,,,,,,,,
Habitat disturbance,,,,,,,,,,,,,,
Nest characteristics,,,nsheebu@gmail.com,,,,,,,,,,,
M. S. Sheshnarayan,2009,"Breeding ecology of the Edible-nest Swiftlet Aerodramus fuciphagus and the Glossy Swiftlet Collocalia esculenta in the Andaman islands, India",Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00016,Swifts,,,
Aerodramus fuciphagus,,,,,,,,,,,,,,
Collocalia esculenta,,,,,,,,,,,,,,
Apodidae,,,,,,,,,,,,,,
Andamans,,,,,,,,,,,,,,
Islands,,,,,,,,,,,,,,
Caves,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat requirements,,,,,,,,,,,,,,
Ex-situ conservation,,,,,,,,,,,,,,
Colonial nesting,,,,,,,,,,,,,,
Cave nesting,,,,,,,,,,,,,,
Breeding success,,,ediblenest@gmail.com,,,,,,,,,,,
P. Shrivastava,1995,"General faunal survey of Madhav National Park, Shivpuri, M P with special reference to birds and mammals",Department of Zoology,,"Jiwaji University, Gwalior",,Ph.D.,,,TD-00198,Landbirds,,,
Wetland birds,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
E. A. A. Shukkur,1978,"Ecology, biology and behaviour of the Black Drongo, Dicrurus adsimilis",Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00236,Drongos,,,
Dicruridae,,,,,,,,,,,,,,
Dicrurus macrocercus,,,,,,,,,,,,,,
Malabar Plains,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Ecophysiology,,,,,,,,,,,,,,
Population density,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Insectivores,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Parental care,,,,,,,,,,,,,,
M. Sikdar,1995,"Some factors controlling the reproduction of male Spotted Munia, Lonchura punctulata and Black-headed Munia, Munia malacca",Department of Zoology,,"Devi Ahilya Vishwavidyalaya, Indore",,Ph.D.,,,TD-00201,Munias,,,
Estrildidae,,,,,,,,,,,,,,
Lonchura punctulata,,,,,,,,,,,,,,
Lonchura malacca,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Environmental factors,,,,,,,,,,,,,,
G. Singaravelan,1985,Studies on the ectoparasites of migratory and non-migratory birds of Point Calimere Bird Sanctuary,AVC College,Mayiladuthurai,"Bharathidasan University, Tiiruchirappalli",,M.Sc,,,TD-00248,Waterbirds,,,
Waterfowl,,,,,,,,,,,,,,
Coromandel Plains,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Marshes,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Parasitology,,,,,,,,,,,,,,
Ecto-parasites,,,,,,,,,,,,,,
Mites,,,,,,,,,,,,,,
Ticks,,,,,,,,,,,,,,
Lice,,,,,,,,,,,,,,
Migrants,,,,,,,,,,,,,,
Immune system,,,,,,,,,,,,,,
G. Singh,1992,The ecology of the Bank Myna Acridotheres ginginianus (Latham) in an urban environment,,,"University of Mumbai, Mumbai",,,,,TD-00282,Starlings,,,
Sturnidae,,,,,,,,,,,,,,
Acridotheres ginginianus,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Human habitations,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Ecobiology,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
P. Singh,2014,"Study of altitudinal and geographical song variation, and interspecific interaction among Phylloscopus warblers in the Himalayas",Wildlife Institute of India,Dehradun,"Forest Research Institute, Dehradun",,Ph.D.,,,TD-00001,Leaf warblers,,,
Phylloscopus xanthoschistos,,,,,,,,,,,,,,
Phylloscopus reguloides,,,,,,,,,,,,,,
Phylloscopidae,,,,,,,,,,,,,,
Western Himalayas,,,,,,,,,,,,,,
Eastern Himalaya,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Avian vocalization,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Habitat selection,,,pratapsingh_birds@rediffmail.com,,,,,,,,,,,
P. P. Singh,1996,"Iodine activation, peripheral conversion of thyroxine to tri-iodothyonine and biological alteration in thyroid follicular membranes with specal reference to temperature in Columba livia",Department of Biology,,"Devi Ahilya Vishwavidyalaya, Indore",,Ph.D.,,,TD-00194,Pigeons,,,
Columba livia,,,,,,,,,,,,,,
Columbidae,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Urban ecosystem,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Thyroid glands,,,,,,,,,,,,,,
Thyroxine,,,,,,,,,,,,,,
Thermoregulation,,,,,,,,,,,,,,
Endocrinology,,,,,,,,,,,,,,
S. Singh,1997,Seasonality in birds: the involvement of thyroid,Department of Zoology,,"Shri Shahu Ji Maharaj Kanpur University, Kanpur",,Ph.D.,,,TD-00187,Landbirds,,,
Lower Gangetic Plains,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Avian physiology & anatomy,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Thyroid glands,,,,,,,,,,,,,,
Breeding seasonality,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Endocrinology,,,,,,,,,,,,,,
S. Singh,2006,Ecology and biology of cormorants (Phalacrocorax spp) with special reference to P.carbo and P.niger  in and around Aligarh,Department of Wildlife Science,,"Aligarh Muslim University, Aligarh",,Ph.D.,,,TD-00164,Cormorants,,,
Phalacrocorax carbo,,,,,,,,,,,,,,
Microcarbo niger,,,,,,,,,,,,,,
Phalacrocoracidae,,,,,,,,,,,,,,
Lower Gangetic Plains,,,,,,,,,,,,,,
Wetlands ,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Habitat quality,,,,,,,,,,,,,,
Floating vegetation,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Niche overlap,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
S. S. Singh,2004,"Avian pineal organ: Role in maintenance of immunity in Indian Jungle Bush Quail, Perdicula asiatica",Department of Zoology,,"Banaras Hindu University, Varanasi",,Ph.D.,,,TD-00174,Perdicula asiatica,,,
Phasianidae,,,,,,,,,,,,,,
Galliformes,,,,,,,,,,,,,,
Upper Gangetic Plains,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Dry deciduous forests,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Reproductive biology,,,,,,,,,,,,,,
Immunoregulation,,,,,,,,,,,,,,
Pineal gland,,,,,,,,,,,,,,
H. Singha,1998,"Ecology, biology and ethology of Greater Adjutant Stork Leptoptilos dubius (Gmelin) in Asssam, India",,,"Aligarh Muslim University, Aligarh",,Ph.D.,,,TD-00084,Storks,,,
Leptoptilos dubius,,,,,,,,,,,,,,
Ciconiidae,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Wetlands ,,,,,,,,,,,,,,
Swamps,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Population dynamics,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Flocking behaviour,,,,,,,,,,,,,,
Nesting trees,,,,,,,,,,,,,,
A. Sinha,2016,"Diversity, population trends and species assemblages of waterbirds in South-west Bengal, India",Department of Zoology,Kolkata,University of Calcutta,"vi, 102p.",Ph.D.,,,TD-00409,Population decline,,,
Habitat degradation,,,,,,,,,,,,,,
Anthropogenic disturbance,,,,,,,,,,,,,,
Agricultural expansion,,,,,,,,,,,,,,
Pollution,,,,,,,,,,,,,,
Species-habitat interactions,,,,,,,,,,,,,,
Species assemblages,,,,,,,,,,,,,,
Species abundance,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Population monitoring,,,,,,,,,,,,,,
Population trend analysis,,,,,,,,,,,,,,
C. V. Sirsat,2008,Studies on avian diversity and bioecological aspects of some local birds,Department of Zoology,,"Dr Babasaheb Ambedkar Marathwada University, Aurangabad",,Ph.D.,,,TD-00150,Landbirds,,,
Waterbirds,,,,,,,,,,,,,,
Waterfowl,,,,,,,,,,,,,,
Deccan Plateau,,,,,,,,,,,,,,
Forests ,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Community ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Community structure,,,,,,,,,,,,,,
Community composition,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species co-occurrence,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Feeding habits,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
K. Sivakumar,2000,A study on the breeding biology of the Nicobar Megapode Megapodius nicobariensis,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00006,Megapodes,,,
Megapodiidae,,,,,,,,,,,,,,
Megapodius nicobariensis,,,,,,,,,,,,,,
Nicobar Islands,,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat selection,,,,,,,,,,,,,,
Endemic species,,,,,,,,,,,,,,
Social organisation,,,,,,,,,,,,,,
Habitat modelling,,,,,,,,,,,,,,
Nest-site characteristics,,,,,,,,,,,,,,
Mound nests,,,ksivakumar@wiii.gov.in,,,,,,,,,,,
C. Sivaperuman,2006,"Ecology of wetland birds in the Kole wetlands of Thrissur, Kerala",Department of Forest Ecology and Environment,,"Forest Research Institute, Dehradun",,Ph.D.,,,TD-00167,,,,
C. Sivasubramanian,1992,"Ecology of the fish eating birds of Keoladeo National Park, Bharatpur",,,"University of Mumbai, Mumbai",,Ph.D.,,,TD-00283,Wetland birds,,,
Waterbirds,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands ,,,,,,,,,,,,,,
Marshes,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Piscivores,,,,,,,,,,,,,,
Fish availability,,,,,,,,,,,,,,
Fish density,,,,,,,,,,,,,,
Water quality,,,,,,,,,,,,,,
S. Somasundaram,2006,Status and eclogy of the Nilgiri Wood Pigeon in the Western Ghats,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,,,TD-00009,Doves & Pigeons,,,
Columba elphinstonii,,,,,,,,,,,,,,
Columbidae,,,,,,,,,,,,,,
Western Ghats (Central),,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Foraging behaviour,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Nest characteristics,,, nssomasundaram@gmail.com,,,,,,,,,,,
A. C. Soni,1991,Food habit and morphometrics of the Rose-ringed Parakeet Psittacula krameri (Scopoli),,,"Gujarat Agricultural University, Anand",,M.Sc.,,,TD-00279,Parakeets,,,
Psittaculidae,,,,,,,,,,,,,,
Psittacula krameri,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Agro-ecosystem,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Feeding ecology,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Frugivores,,,,,,,,,,,,,,
Granivores,,,,,,,,,,,,,,
Morphometrics,,,,,,,,,,,,,,
Pestiferous birds,,,,,,,,,,,,,,
Crop damage,,,,,,,,,,,,,,
H. B. Soni,2007,Environmental studies of two significant wetlands of Gujarat with particular reference to eutrophication and avifauna,Department of Environmental Science,,"Sardar Patel University, Anand",,Ph.D.,,,TD-00177,Waterbirds,,,
Waterfowl,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Avian disease and health,,,,,,,,,,,,,,
Toxicology,,,,,,,,,,,,,,
Eutrophication,,,,,,,,,,,,,,
Phosphate pollution,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Impact assessment,,,,,,,,,,,,,,
Planktons,,,,,,,,,,,,,,
Water quality parameters,,,,,,,,,,,,,,
R. Sougrakpam,2013,"Photoperiodic regulation of seasonality in reproduction in the Yellow-breasted Bunting, Emberiza aureola (Pallas)",Department of Zoology,,"North Eastern Hill University, Shillong",,Ph.D.,,,TD-00096,Buntings,,,
Emberiza aureola ,,,,,,,,,,,,,,
Emberizidae,,,,,,,,,,,,,,
North-eastern Hills,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Grasslands,,,,,,,,,,,,,,
Species ecology & life-history strategies,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Species distribution,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Photoperiod,,,,,,,,,,,,,,
Winter migrant,,,,,,,,,,,,,,
Breeding biology,,,,,,,,,,,,,,
Reproductive success,,,,,,,,,,,,,,
S. Sreekumar,1993,Ecological studies on the birds of Karipur environs in relation to the aerodromes,Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,,,TD-00213,Landbirds,,,
Malabar Plains,,,,,,,,,,,,,,
Woodland,,,,,,,,,,,,,,
Shrublands,,,,,,,,,,,,,,
Scrub forests,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Aerodromes,,,,,,,,,,,,,,
Aircraft hazards,,,,,,,,,,,,,,
Bird collision,,,,,,,,,,,,,,
H. Sridhar,2005,Patterns in mixed-species flocking of birds in rainforest fragments of the southern Western Ghats,Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,M.Sc.,,,TD-00122,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Dry evergreen forests,,,,,,,,,,,,,,
Evergreen forests,,,,,,,,,,,,,,
Moist deciduous forests,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Habitat adaptations,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Mixed species flocks,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
Foraging guilds,,,,,,,,,,,,,,
Elevational pattern,,,,,,,,,,,,,,
H. Sridhar,2013,Causes and consequences of heterospecific foraging associations in terrestrial bird communities,Centre for Ecological Sciences,Bangalore,"Indian Institute of Science, Bangalore",,Ph.D.,,,TD-00003,Landbirds,,,
Western Ghats (Central),,,,,,,,,,,,,,
Forests,,,,,,,,,,,,,,
Evolutionary biology,,,,,,,,,,,,,,
Behavioural ecology,,,,,,,,,,,,,,
Mixed species flocks,,,,,,,,,,,,,,
Bird communities,,,,,,,,,,,,,,
Competition,,,,,,,,,,,,,,
Anti-predation strategy,,,,,,,,,,,,,,
Foraging ecology,,,harisridhar1982@gmail.com,,,,,,,,,,,
G. Sridharan,2003,Waterbird use and conservation issues of vaduvoor lake Tamilnadu southern India,Department of Zoology,Mayiladuthurai,Bharathidasan University,134,Ph.D.,,,TD-00393,Population studies,,,
Conservation assessment,,,,,,,,,,,,,,
Seasonality,,,,,,,,,,,,,,
Species density,,,,,,,,,,,,,,
Population fluctuation,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species density,,,,,,,,,,,,,,
Species-habitat interactions,,,,,,,,,,,,,,
Food availability,,,,,,,,,,,,,,
Habitat use,,,,,,,,,,,,,,
Habitat structure,,,,,,,,,,,,,,
Socio-economics,,,,,,,,,,,,,,
Conservation efforts,,,,,,,,,,,,,,
N. Sridharan,2006,"Status of wetlands and wetland birds in Kanyakumari, Thanjavur, Cuddalore and Nagaipattinam districts in Tamilnadu",AVC College,Mayiladuthurai,"Bharathidasan University, Trichirappalli",,M.Sc.,,,TD-00035,Wetland birds,,,
Coromandel Coast,,,,,,,,,,,,,,
Wetlands,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Conservation biology,,,,,,,,,,,,,,
Species diversity,,,,,,,,,,,,,,
Species richness,,,,,,,,,,,,,,
Migration,,,,,,,,,,,,,,
Colonial breeders,,,,,,,,,,,,,,
Habitat loss,,,,,,,,,,,,,,
Anthropogenic disturbance,,,sridharanavc@gmail.com,,,,,,,,,,,
U. Sridharan,1989,"Comparative ecology of resident ducks in Keoladeo National Park, Bharatpur, Rajasthan",,,"University of Bombay, Bombay",,Ph.D.,,,TD-00062,Wetland birds,,,
Ducks,,,,,,,,,,,,,,
Anatidae,,,,,,,,,,,,,,
Gujarat Rajputana,,,,,,,,,,,,,,
Waterbodies,,,,,,,,,,,,,,
Habitat ecology,,,,,,,,,,,,,,
Population ecology,,,,,,,,,,,,,,
Habitat utilization,,,,,,,,,,,,,,
Activity pattern,,,,,,,,,,,,,,
